,t (h),pwf (bar),pavg (bar),q (m3/d)
68,5.580810182512228,386.004617632665,398.21379439167475,-167.028872967275
69,6.12590727341317,385.68422330762775,398.0393324643642,-167.02887307934589
70,6.7241506577508074,385.3431446284907,397.847860715039,-167.02887262245503
71,7.380722033525783,384.9800318740017,397.6377207066107,-167.02887255659354
72,8.101308307896865,384.5934179349142,397.4070923071839,-167.02887226401492
73,8.892150854450383,384.18169624397257,397.15397792408896,-167.02887189207325
74,9.760099572992257,383.7430954694526,396.8761852014678,-167.02887167921742
75,10.712672220103222,383.2756509246886,396.571308031113,-167.02887179705937
76,11.758119524349977,382.7771725596666,396.2367057129421,-167.028871836733
77,12.90549665014884,382.2452096033611,395.86948008235703,-167.0288715917727
78,14.164741629268034,381.67701179474807,395.4664504062854,-167.02887152839642
79,15.546761439304706,381.06948751472464,395.0241258337563,-167.02887174871051
80,17.063526474706904,380.41915880354674,394.53867516178803,-167.02887163526404
81,18.728174228603812,379.72211381156546,394.0058936487101,-167.02887159921497
82,20.555123083486492,378.9739569623755,393.4211665962093,-167.0288714907522
83,22.560197196339193,378.16975751405147,392.77942937484545,-167.02887229597147
84,24.760763559917063,377.3039970636827,392.0751235690229,-167.02887172797162
85,27.175882427329427,376.37051657498114,391.30214881751886,-167.02887153004724
86,29.82647240283337,375.36246390642384,390.45380998130435,-167.02887166425668
87,32.73549162877722,374.2722419332113,389.5227591539719,-167.02887199922225
88,35.92813663804629,373.0914577933007,388.5009320175924,-167.02887245213944
89,39.432060594376516,371.81087301858145,387.37947799606917,-167.0288725712146
90,43.277612810830576,370.42035378655515,386.14868359218235,-167.02887253157175
91,47.49810162102798,368.90881992049896,384.7978882541231,-167.02887243482846
92,52.1300828799968,367.26419054848486,383.3153920390125,-167.02887233983122
93,57.21367659350214,365.4733233672206,381.688354278611,-167.02887177208794
94,62.79291441834253,363.5219441755448,379.90268235319445,-167.0288710205238
95,68.91612104349689,361.3945626243776,377.9429096179719,-167.028871148564
96,75.63633275546282,359.07437024917425,375.79206145358575,-167.02887167915387
97,83.01175681319744,356.5431166637678,373.43150824612223,-167.02887184095928
98,91.10627561154877,353.7809602937119,370.84080401409307,-167.02887190267978
99,99.98999999999991,350.76629070182867,367.99750931431885,-167.02887210032787
100,100.0,347.47551996483753,364.87699690143756,-162851.08778852966
101,100.00097498765493,354.56312493637176,364.87699690160616,9.024856468576993e-05
102,100.00204503540259,354.827133520391,364.87699690156495,-2.0094483167134795e-05
103,100.00321941148465,354.9990978828371,364.87699690158075,7.019133940372496e-06
104,100.00450828778496,355.1323342789178,364.876996901586,2.111745942747266e-06
105,100.0059228279334,355.2436872504457,364.87699690159815,4.4805073329767015e-06
106,100.00747528400007,355.3406284142887,364.87699690161037,4.107517247179675e-06
107,100.00917910261673,355.4272237015582,364.8769969016258,4.72391258712737e-06
108,100.01104904144512,355.5059739904896,364.87699690163896,3.6804483991555206e-06
109,100.01310129700083,355.5785495504806,364.87699690160633,-8.29846061084319e-06
110,100.01535364493971,355.6461364058883,364.876996901604,-5.351568390219396e-07
111,100.01782559402207,355.7096180324537,364.87699690157257,-6.6378555395931714e-06
112,100.02053855508832,355.7696783935874,364.87699690148867,-1.613799942765219e-05
113,100.0235160265094,355.82686406437995,364.87699690140084,-1.539646680203017e-05
114,100.02678379771828,355.88162366156166,364.87699690135605,-7.15117978172832e-06
115,100.03037017258598,355.9343337575037,364.8769969013316,-3.556092324177523e-06
116,100.03430621457584,355.9853164434094,364.87699690127835,-7.06319482142136e-06
117,100.03862601580066,356.03485144744536,364.8769969012837,6.480725095829525e-07
118,100.04336699231206,356.083184556327,364.87699690123424,-5.445717924634111e-06
119,100.04857020818056,356.1305336073325,364.87699690125646,2.2268926735886144e-06
120,100.05428073117285,356.17709282879383,364.8769969012272,-2.6759101837309444e-06
121,100.06054802310719,356.22303606197494,364.87699690123156,3.660386569710828e-07
122,100.06742636826812,356.2685193023674,364.8769969012556,1.8258850112640216e-06
123,100.07497534359086,356.3136828068944,364.87699690133354,5.3876397105122814e-06
124,100.08326033468832,356.3586529763219,364.8769969014483,7.227424127416158e-06
125,100.0923531021899,356.40354410042664,364.87699690155114,5.901166473260427e-06
126,100.10233240329781,356.4484600345423,364.87699690161617,3.4014883140233533e-06
127,100.11328467394421,356.4934958499471,364.87699690176,6.851852544671354e-06
128,100.12530477745798,356.5387394089497,364.876996901916,6.776893895788845e-06
129,100.13849682622543,356.58427290041135,364.87699690201083,3.7491233522808527e-06
130,100.15297508346207,356.63017428218757,364.87699690217505,5.919024915847575e-06
131,100.16886495290575,356.6765186455464,364.87699690232853,5.040826594841771e-06
132,100.18630406500402,356.7233794825711,364.8769969025102,5.438038743930185e-06
133,100.20544346900319,356.77082987527797,364.8769969027216,5.763493298513035e-06
134,100.22644894126454,356.81894356959685,364.8769969030071,7.0932932820596924e-06
135,100.24950242113998,356.867795972642,364.87699690330743,6.79878291012727e-06
136,100.27480358684357,356.91746503523837,364.87699690356305,5.272724178800736e-06
