"origId","origProcId","m","d","yDot","injector","ct","ms","aC3H6O","T","tTurb","y","liquidCore","U:0","U:1","U:2","n:0","n:1","n:2","Uturb:0","Uturb:1","Uturb:2","Points:0","Points:1","Points:2"
97566,2,6.30404e-13,9.94402e-06,0,0,0,0,1,291.246,0.001105,0,0,8.90437,-0.0786033,4.42132e-08,0,1,-5.62485e-07,-0.259216,-0.264068,-0.228187,0.114902,0.00907421,-5.1041e-09
96794,2,6.2665e-13,9.40124e-06,0,0,0,0,1,292.968,0.000625,0,0,6.74268,1.61465,-6.97165e-08,0,1,-4.31775e-08,-0.194249,1.50829,0.479799,0.111309,0.0118196,-5.1034e-10
95824,2,6.21589e-13,9.26646e-06,0,0,0,0,1,293.173,0.004045,0,0,7.20553,0.222434,-2.68501e-10,0,1,-1.2071e-09,0.00373007,0.12408,-0.0109947,0.114088,0.0114412,-1.38107e-11
97165,2,6.35098e-13,2.89203e-05,0,0,0,0,1,290.659,2.5e-05,0,0,8.17572,0.965419,1.21498e-06,0,1,1.2585e-06,2.90691,4.76702,2.46992,0.113461,0.01162,1.46238e-08
57156,2,5.00033e-13,8.52993e-06,0,0,0,0,1,297.191,0.03117,0,0,3.49767,-0.0214849,-1.09755e-09,0,1,5.10846e-08,0.0506989,-0.01756,0.0170022,0.499735,0.0447948,2.28832e-09
61010,2,5.50361e-13,1.15537e-05,0,0,0,0,1,297.279,0.00163,0,0,3.46845,-0.0966681,-1.43583e-09,0,1,1.48532e-08,0.387801,-0.0736946,0.348239,0.396095,0.0451207,6.70189e-10
59579,2,5.4414e-13,1.08164e-05,0,0,0,0,1,297.101,0.006955,0,0,3.39958,0.10766,-2.26178e-10,0,1,-2.10085e-09,0.120087,0.119136,-0.657494,0.494931,0.0479551,-1.00746e-10
63179,2,5.64244e-13,1.31079e-05,0,0,0,0,1,296.546,0.02437,0,0,3.86144,-0.215211,7.92964e-19,0,1,-3.68458e-18,-0.0754329,-0.228275,-0.224275,0.496119,0.0362355,-1.33513e-19
63380,2,5.36048e-13,8.67881e-06,0,0,0,0,1,297.555,0.029395,0,0,3.14352,0.0141801,-4.28983e-20,0,1,-3.02524e-18,0.00443992,0.0329125,0.0249559,0.494591,0.0512467,-1.55033e-19
61767,2,5.77112e-13,1.44675e-05,0,0,0,0,1,296.91,0.0044425,0,0,3.34154,-0.189122,-1.80688e-07,0,1,9.55404e-07,-0.227746,-0.191326,0.293197,0.485517,0.0418645,3.99975e-08
61514,2,5.32697e-13,9.84e-06,0,0,0,0,1,296.971,0.00592,0,0,3.53309,-0.147236,-1.89251e-08,0,1,1.28536e-07,-0.0133341,-0.147664,0.163345,0.49286,0.0426982,5.48826e-09
64168,2,5.14777e-13,8.44327e-06,0,0,0,0,1,297.128,0.048545,0,0,3.46305,0.030226,-1.36532e-11,0,1,-4.51703e-10,-0.0115419,0.0330192,0.107748,0.49842,0.0442876,-2.00048e-11
64614,2,5.6696e-13,1.09081e-05,0,0,0,0,1,297.213,0.05275,0,0,3.4335,-0.00418261,-1.32962e-09,0,1,3.17892e-07,5.66592e-05,0.000268494,0.000129913,0.499742,0.0450292,1.43144e-08
