,t (h),pwf1 (bar),pwf2 (bar),pavg (bar),q (m3/d)
84,42.0,361.99158518401043,363.77111815411297,377.8705108808729,-274.97097036742264
85,42.5,361.6975415612256,363.4711143252855,377.6070645822169,-274.9709703657119
86,43.0,361.4037415173062,363.1713182075975,377.3436182835389,-274.9709703886526
87,43.5,361.11018037721715,362.8717287165413,377.0801719848976,-274.9709703503143
88,44.0,360.81685365139134,362.5723447715407,376.8167256862374,-274.9709703700667
89,44.5,360.52375702702875,362.2731652960331,376.5532793875928,-274.9709703538138
90,45.0,360.23088635820466,361.9741892161329,376.2898330889466,-274.97097035552457
91,45.5,359.9382376587841,361.6754154612447,376.02638679031975,-274.97097033522795
92,46.0,359.64580709393846,361.3768429632198,375.76294049166734,-274.9709703619791
93,46.5,359.35359097298686,361.07847065636315,375.4994941930355,-274.97097034043816
94,47.0,359.06158574236116,360.7802974772108,375.2360478943618,-274.97097038422
95,47.5,358.76978797894895,360.4823223643701,374.97260159571124,-274.9709703599573
96,48.0,358.47819438396397,360.1845442585213,374.7091552970637,-274.9709703568466
97,48.5,358.1868017767434,359.8869621021457,374.4457089984317,-274.97097034067144
98,49.0,357.89560708944776,359.5895748397258,374.18226269979266,-274.9709703479814
99,49.5,357.6046073615528,359.2923814175683,373.91881640115855,-274.9709703428489
100,50.0,357.31379973487054,358.99538078387445,373.65537010251103,-274.9709703568466
101,50.5,357.02318144877205,358.6985718887546,373.39192380388056,-274.97097033903833
102,51.0,356.7327498355422,358.401953684204,373.12847750525407,-274.9709703349169
103,51.5,356.4425023161897,358.10552512421117,372.8650312065895,-274.9709703746549
104,52.0,356.1524363968373,357.8092851651394,372.6015849079758,-274.97097032154124
105,52.5,355.8625496635351,357.51323276494173,372.33813860932355,-274.9709703617458
106,53.0,355.57283978,357.21736688424295,372.07469231069217,-274.9709703400494
107,53.5,355.2833044832845,356.9216864856256,371.8112460120515,-274.9709703496145
108,54.0,354.9939415809095,356.62619053432974,371.5477997134121,-274.970970348448
109,54.5,354.70474894797326,356.3308779982649,371.2843534147604,-274.9709703612014
110,55.0,354.4157245228222,356.03574784738174,371.0209071161376,-274.9709703310286
111,55.5,354.1268663057401,355.7407990547583,370.7574608175037,-274.9709703426156
112,56.0,353.83817235567017,355.4460305962921,370.4940145188522,-274.9709703609682
113,56.5,353.54964078745104,355.15144145063846,370.23056822022164,-274.9709703391939
114,57.0,353.26126976964764,354.8570305995648,369.9671219215986,-274.97097033126187
115,57.5,352.9730575221661,354.5627970279813,369.70367562296485,-274.9709703424601
116,58.0,352.6850023139388,354.26873972393736,369.4402293243235,-274.9709703503922
117,58.5,352.3971024611964,353.97485767905357,369.17678302569135,-274.970970340827
118,59.0,352.10935632488014,353.68114988813676,368.9133367270327,-274.97097036851136
119,59.5,351.8217623092555,353.3876153496993,368.6498904283838,-274.9709703582464
120,60.0,351.53431885986345,353.09425306584666,368.38644412973605,-274.9709703570799
121,60.5,351.24702446184114,352.8010620423992,368.12299783109813,-274.9709703468149
122,61.0,350.959877638322,352.50804128903025,367.85955153246164,-274.97097034533743
123,61.5,350.672876948836,352.215189819304,367.59610523385436,-274.9709703148535
124,62.0,350.3860209878368,351.9225066507909,367.3326589351953,-274.97097036890017
125,62.5,350.0993083832665,351.6299908051259,367.0692126365548,-274.9709703494589
126,63.0,349.8127377952591,351.3376413081208,366.80576633791344,-274.9709703504699
127,63.5,349.5263079147476,351.0454571897807,366.5423200392659,-274.9709703568466
128,64.0,349.24001746221614,350.7534374843338,366.2788737406292,-274.97097034557066
129,64.5,348.9538651870765,350.4615812306817,366.0154274419884,-274.9709703498478
130,65.0,348.6678498654311,350.1698874717177,365.7519811433158,-274.9709703829757
131,65.5,348.3819703000478,349.8783552551093,365.48853484468816,-274.9709703360833
132,66.0,348.0962253188789,349.5869836329671,365.22508854603456,-274.97097036322333
133,66.5,347.81061377427056,349.2957716620592,364.9616422473845,-274.97097035949065
134,67.0,347.52513454177404,349.0047184036926,364.69819594873815,-274.9709703556024
135,67.5,347.2397865195299,348.7138229239399,364.4347496500976,-274.97097034953674
136,68.0,346.9545686273032,348.4230842935742,364.17130335143395,-274.9709703737217
137,68.5,346.669479805706,348.13250158815293,363.90785705278637,-274.9709703569244
138,69.0,346.38451901542425,347.84207388803816,363.6444107541161,-274.97097038056495
139,69.5,346.0996852364818,347.5518002784602,363.38096445547006,-274.9709703552913
140,70.0,345.81497746738495,347.26167984933033,363.1175181568146,-274.9709703651675
141,70.5,345.53039472489013,346.9717116957759,362.8540718581702,-274.9709703535805
142,71.0,345.245936042873,346.6818949176075,362.59062555952056,-274.9709703590241
143,71.5,344.96160047194644,346.39222861963907,362.327179260883,-274.97097034650386
144,72.0,344.6773870788713,346.10271191166305,362.06373296219783,-274.97097039611805
145,72.5,344.3932949459506,345.81334390843233,361.80028666355656,-274.9709703503143
146,73.0,344.10932317051225,345.52412372968956,361.53684036488653,-274.9709703803317
147,73.5,343.8254708644124,345.23505050019554,361.27339406620786,-274.97097038935243
148,74.0,343.5417371535121,344.94612334970526,361.0099477675802,-274.9709703361611
149,74.5,343.2581211772083,344.6573414129852,360.74650146888445,-274.9709704071607
150,75.0,342.97462208813585,344.3687038299448,360.4830551702576,-274.97097033522795
151,75.5,342.6912390497785,344.0802097449575,360.21960887154796,-274.9709704217027
152,76.0,342.40797124435926,343.7918583086422,359.9561625728986,-274.97097035871303
153,76.5,342.1248178565549,343.50364867505783,359.69271627421625,-274.9709703932407
154,77.0,341.84177808859886,343.215580004833,359.4292699755347,-274.97097039238525
155,77.5,341.5588511524837,342.9276514627429,359.1658236768702,-274.9709703744993
156,78.0,341.27603627091395,342.63986221866855,358.9023773781907,-274.97097039028563
157,78.5,340.9933326770359,342.3522114475286,358.6389310795211,-274.9709703798651
158,79.0,340.71073961258105,342.0646983293032,358.3754847808216,-274.9709704111267
159,79.5,340.42825633579315,341.777322048792,358.1120384821504,-274.9709703814982
160,80.0,340.1458821042264,341.49008179584564,357.8485921834521,-274.97097040988245
161,80.5,339.86361619124165,341.20297676584073,357.5851458847835,-274.9709703788542
162,81.0,339.58145787790204,340.9160061584965,357.32169958610297,-274.97097039129665
163,81.5,339.29940645382817,340.62916917849617,357.05825328743117,-274.97097038219806
164,82.0,339.01746121720475,340.34246503555363,356.7948069887568,-274.97097038484213
165,82.5,338.73562147434643,340.05589294424726,356.5313606900671,-274.9709704008617
166,83.0,338.4538865396057,339.76945212406173,356.2679143913695,-274.97097040910484
167,83.5,338.17225573517925,339.483141799359,356.00446809270034,-274.9709703794763
168,84.0,337.89072839083286,339.19696119937925,355.7410217940176,-274.9709703935518
169,84.5,337.609303843625,338.9109095580864,355.47757549530735,-274.9709704223248
170,85.0,337.3279814380911,338.62498611445153,355.21412919661003,-274.97097040887155
171,85.5,337.04676052542084,338.3391901120097,354.9506828979323,-274.9709703883416
